"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787046659844898963","Sun May 05 09:08:20 +0000 2024","6","Cek Lokasi Lahan Relokasi Pengungsi Gunung Ruang AHY: Mau Pastikan Statusnya Clean &amp; Clear Saya ingin meyakinkan apakah lahan yg dipersiapkan di Bolaang Mongondow Selatan sudah siap statusnya sudah clean &amp; clear krn kita berharap relokasi segera dilakukan. Agus Yudhoyono https://t.co/dlYYmnct4S","1787046659844898963","https://pbs.twimg.com/media/GMzdcyubYAAWCpJ.jpg","","in","Jakarta Capital Region","0","1","3","https://twitter.com/SeputarAHY/status/1787046659844898963","1347741085","SeputarAHY"
"1787044230176588238","Sun May 05 08:58:40 +0000 2024","1","Presiden Jokowi Minta Jajaran Pastikan Tak Ada Pengungsi Erupsi Gunung Ruang yang Terlantar. Ricis Rian Pegang Ribka Ester Jorji https://t.co/iMJuJmL4Bo","1787044230176588238","https://pbs.twimg.com/media/GMzbO5LaAAA_4IT.jpg","","in","","0","0","1","https://twitter.com/NuraishaZahrani/status/1787044230176588238","1714931912601632768","NuraishaZahrani"
"1786737786655240467","Sun May 05 08:55:53 +0000 2024","0","@AanNaslan @AgusYudhoyono sekali-sekAli turun di trafficlight menggalang dana u korban banjir om... pegang toa dan bentangkan spanduk. klo mw skrg bisa Galang dana untuk korban Gunung Ruang atau korban banjir 5 kabupaten di Sulsel. tuh mahasiswa bukan BNPB tp mereka punya jiwa kepedulian menolong org","1787043528624976309","","AanNaslan","in","Central Sulawesi, Indonesia","0","0","0","https://twitter.com/karkata_rry/status/1787043528624976309","159419400","karkata_rry"
"1787041246386782682","Sun May 05 08:46:49 +0000 2024","0","Tempuh Perjalanan Darat 4 Jam AHY Terjun Langsung ke Gunung Ruang https://t.co/7Xw5UmT9vr","1787041246386782682","https://pbs.twimg.com/media/GMzYhg2b0AApbqi.jpg","","in","","0","0","0","https://twitter.com/AHYPRIDE/status/1787041246386782682","1716357947599810560","AHYPRIDE"
"1787039754162503799","Sun May 05 08:40:53 +0000 2024","0","Tempuh Perjalanan Darat 4 Jam AHY Terjun Langsung ke Gunung Ruang https://t.co/0FdaGwzZkM","1787039754162503799","https://pbs.twimg.com/ext_tw_video_thumb/1787038845860724736/pu/img/3RbzBhZnqk0Vl-_P.jpg","","in","","0","0","0","https://twitter.com/AHYPRIDE/status/1787039754162503799","1716357947599810560","AHYPRIDE"
"1787039429309444335","Sun May 05 08:39:36 +0000 2024","0","AHY Tinjau Langsung Tanah Relokasi untuk Korban Erupsi Gunung Ruang https://t.co/95Y0vyflP8","1787039429309444335","","","in","Pekanbaru","0","0","0","https://twitter.com/Riau24Com/status/1787039429309444335","788744100","Riau24Com"
"1787033773722513727","Sun May 05 08:17:07 +0000 2024","0","Bandara Sam Ratulangi Manado akhirnya dibuka kembali setelah erupsi Gunung Ruang 30 April 2024 lalu. Ini beberapa #planespotting penerbangan pertama saat kembali beroperasinya bandara SRIA hari ini. https://t.co/jCH42neFf5","1787033773722513727","https://pbs.twimg.com/media/GMzRuP3bgAA8Q1l.jpg","","in","","0","0","0","https://twitter.com/PoskoX/status/1787033773722513727","273066325","PoskoX"
"1787033761521287521","Sun May 05 08:17:04 +0000 2024","2","AHY Tinjau Langsung Calon Lahan Relokasi Korban Erupsi Gunung Ruang @AgusYudhoyono @atr_bpn #MenteriATR #AgusHarimurtiYudhoyono #ErupsiGunungRuang #SulawesiUtara #GunungRuang https://t.co/3ZsYcJBrhr","1787033761521287521","","","in","","0","0","1","https://twitter.com/sinpotv/status/1787033761521287521","1012174601055449088","sinpotv"
"1787029514574528698","Sun May 05 08:00:12 +0000 2024","0","FOTO: Aksi Relawan Evakuasi Anjing dan Kucing Terlantar di Desa-Desa Terdampak Erupsi Gunung Ruang https://t.co/GwDwLPhAAo","1787029514574528698","","","in","Indonesia","0","0","0","https://twitter.com/merdekadotcom/status/1787029514574528698","456426648","merdekadotcom"
"1787029014995251616","Sun May 05 07:58:13 +0000 2024","0","Penerbangan perdana di bandara samratulangi manado setelah ditutup karena erupsi gunung ruang https://t.co/xSAHDJbXU6","1787029014995251616","https://pbs.twimg.com/ext_tw_video_thumb/1787028917871915008/pu/img/avvmUZwuhDJ35n5S.jpg","","in","","0","0","0","https://twitter.com/IcalNurba51757/status/1787029014995251616","1754904275707424768","IcalNurba51757"
"1787025762538901545","Sun May 05 07:45:17 +0000 2024","2","Aktivitas gunung api Ruang di Kepulauan Sitaro Sulawesi Utara masih fluktuatif. Gunung api Ruang masih menunjukkan aktivitas kegempaan terus-menerus dan masih mengeluarkan kepulan asap berwarna putih setinggi 2 hingga 5 meter. #gunungruang #erupsigunungruang #sulawesiutara https://t.co/6je0VfVhjg","1787025762538901545","https://pbs.twimg.com/ext_tw_video_thumb/1787023110648344576/pu/img/1pNATHdpP-hsRgGq.jpg","","in","","0","1","0","https://twitter.com/Metro_TV/status/1787025762538901545","57261519","Metro_TV"
